2010-042,BUS SHELTERS (RE-BID),BRASCO INTERNATIONAL,,,,,,
2010-044,MOBILE EOD COMMAND CENTER,"LDV, INC.",,,,,,
2010-045,INSTALLATION OF INDOOR AND OUTDOOR WIRELESS COMMUNICATIONS,"INX, INC.",,,,,,
2010-046,ACCU-TAB BLUE SI TABLETS,D. GILMORE DISTRIBUTING dba TRIPLE S JANITORIAL SUPPLIES,,,,,,
2010-047,"MISCELLANEOUS INDUSTRIAL SUPPLIES, HARDWARE & EQUIPMENT",W.W. GRAINGER,,,,,,
2010-048,"2"" GALVANIZED SIGNPOSTS","VEND 1) ALLIED TUBE & CONDUIT CORPORATION, VEND 2)CENTERLINE SUPPLY",,,,,,
2010-050,MAINTENANCE SERVICES OF ILEAD SOFTWARE,INTERGRAPH CORPORATION,,,,,,
2010-051,"REPAIR, REHABILITATION AND/OR DEMOLITION OF HOMES UNDER THE NEIGHBORHOOD STABILIZATION PROGRAM (NSP)","POWERS GENERAL CONTRACTORS, RAYCO CONSTRUCTION AND BASIC IDIQ",,,,,,
2010-052,H1N1 IMMUNIZATIONS,MAXIM HEALTHCARE,,,,,,
2010-053,PURCHASE AND INSTALL HVAC EQUIPMENT,TRANE BUILDING SERVICES,,,,,,
2010-054,PLAYGROUND EQUIPMENT:  PARKS AND RECREATION AND FIELD LIGHTING PRODUCTS AND INSTALLATION,THE PLAYWELL GROUP,,,,,,
2010-055,PLAYGROUND EQUIIPMENT:  PARKS AND RECREATION AND FIELD LIGHTING PRODUCTS AND INSTALLATION,"EXERPLAY, INC.",,,,,,
2010-056,PLAYGROUND EQUIPMENT:  PARKS AND RECREATION AND FIELD LIGHTING PRODUCTS AND INSTALLATION,PLAYPOWER LT FARMINGTON INC. / ALL PLAY INC.,,,,,,
2010-057,POLICE WEAPONS - M-4 CARBINE STYLE RIFLES,"GT DISTRIBUTORS, INC.",,,,,,
2010-058,EPIA BAGGAGE MAKE-UP CANOPY,"BLAIR-HALL COMPANY, INC",,,,,,
2010-059,HAZARDOUS DUTY ROBOTS FOR BOMB SQUAD,REMOTEC,,,,,,
2010-060,RACKVISION VEHICLE IMAGING VIDEO DETECTION SYSTEM,PARADIGM TRAFFIC SYSTEMS INC.,,,,,,
2010-061,ENGLISH LANGUAGE ADULT AND JUVENILE BOOKS,BAKER & TAYLOR,,,,,,
2010-062R,"DEFENSIVE TACTICS, ARREST AND CONTROL PROGRAM","L. HICKS, INC.",,,,,,
2010-063,PETERBILT PROPRIETARY PARTS,RUSH TRUCK CENTERS OF TEXAS LP dba RUSH TRUCK CENTER EL PASO,,,,,,
2010-064,PRO-PATCH ASPHALT POTHOLE PATCHER,"H.D. INDUSTRIES, INC.",,,,,,
2010-065,ELGIN SWEEPER PROPRIETARY PARTS,"KINLOCH EQUIPMENT & SUPPLY, INC.",,,,,,
2010-066,"AUDIO / VISUAL MATERIALS - ALL LANGUAGES, ADULT AND JUVENILE",BAKER & TAYLOR,,,,,,
2010-067,SECURITY GUARD SERVICES - EL PASO INTERNATIONAL BRIDGES,"RUIZ PROTECTIVE SERVICES, INC.",,,,,,
2010-068,"UNIFORMS, SHOES AND RELATED ITEMS",BAZAAR UNIFORMS & MEN'S STORE DBA WORKWEAR SAFETY SHOES,,,,,,
2010-069,NABI BUS COMPONENTS,NABI (NORTH AMERICAN BUS INDUSTRIES INC.),,,,,,
2010-070,PLUMBING HVAC PARTS AND SUPPLIES AND IRRIGATION AND HARDWARE SUPPLIES AND SERVICES,VENDOR 1:  DALE BOREN SERVICE SUPPLY INC., VENDOR 2:  EL PASO BOLT & SCREW INC., VENDOR 3:  JOHN STONE SUPPLY, VENDOR 4:  EWING IRRIGATION, VENDOR 5:  AMERICAN REFRIGERATION SUPPLIES INC.,,
2010-071,SALE OF REAL PROPERTY - 800 S. PIEDRAS (AKA 2914 PAISANO),CHECK WAS DELIVERED TO CAPITAL ASSETS BY MP ON 4/13/10,,,,,,
2010-072,ESRI SOFTWARE MAINTENANCE AND SUPPORT,ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC (ERSI),,,,,,
2010-073,AUTOCAD SOFTWARE MAINTENANCE AND SUPPORT,"DLT SOLUTIONS, INC.",,,,,,
2010-074,"VEHICLE BODY REPAIR, PAINTING, AND DETAILING","ADVANCED AUTO COLLISION REPAIR CENTER, INC.",,,,,,
2010-075,SOFTWARE LICENSE IMPLEMENTATION AND FIRST YEAR MAINTENANCE,GTSI CORPORATION,,,,,,
2010-077,STREET CONSTRUCTION MATERIALS,"VENDOR 1:  CEMEX MATERIALS SOUTH, LLC; VENDOR 2:  JOBE MATERIALS, L.P.",,,,,,
2010-078,INSTALLATION OF VIDEO SECURITY CAMERA SYSTEMS AT MULTIPLE REC CENTERS,ADVANCED SECURITY CONTRACTORS,,,,,,
2010-079,JANITORIAL SERVICES - MUNICIPAL COURT,TOTAL CLEANING SERVICES,,,,,,
2010-081,BLUEPRINT DUPLICATION AND PRINTING SERVICES,"P3001, LLC",,,,,,
2010-082R,VEHICLE RENTAL CONCESSIONAIRE,ADVANTAGE RENT A CAR,,,,,,
2010-083,PURCHASE AND INSTALLATION OF 25 UNITS IN THE 400 SERIES BUSES AND RELATED SPARE PARTS,TRAPEZE ITS USA LLC,,,,,,
2010-084,AMMUNITION,BARNEY'S INC. AND PRECISION DELTA CORP.,,,,,,
2010-085R,ENERGY OPERATIONAL SAVINGS PROGRAM,"JOHNSON CONTROLS, INC.",,,,,,
2010-086,TRANSPORT CARTS,"VENDOR 1:  MEDLEY MATERIAL HANDLING (ALTERNATE BID); VENDOR 2:  GREEN GO TEK, LLC (ALTERNATE BID); VENDOR 3:  FMH MATERIAL HANDLING SOLUTIONS,INC.",,,,,,
2010-087,SPEED HUMPS AND SPEED CUSHIONS,TRAFFIC LOGIX,,,,,,
2010-088,DELL COMPUTER AND EQUIPMENT PRODUCTS,"CHECKPOINT SERVICES, INC.",,,,,,
2010-089,CARRIER ASSEMBLY,"VENDOR 1: TRUCK TRAILER TRANSIT, INC.; VENDOR 2:  NEW FLYER INDUSTRIES CANADA ULC",,,,,,
2010-090,PROFESSIONAL AUDIO/VIDEO TELECOMMUNICATIONS AND SECURITY UPGRADE - FIRE DEPARTMENT EMERGENCY OPERATION CENTER,"VISUAL INNOVATIONS COMPANY, INC.",,,,,,
2010-091,BUS ENGINE EXCHANGE PROGRAM,"CUMMINS ROCKY MOUNTAIN, LLC",,,,,,
2010-092,HOMELAND SECURITY AND PUBLIC SAFETY EQUIPMENT AND RELATED SERVICES,"HAGEMEYER N. AMERICA, INC.",,,,,,
2010-093,AVL SOFTWARE LICENSE FOR AMBER ONSTREET SIGNS,TRAPEZE ITS USA LLC,,,,,,
2010-094,FLEET VEHICLES,"CASA FORD, INC.",,,,,,
2010-095,DISPOSAL OF WASTE TIRES,"CHAPARRAL SAND & GRAVEL, LLC",,,,,,
2010-096,FATHER PETE MARTINEZ SENIOR CITIZEN CENTER ADDITION,CK CONSTRUCTION INC.,,,,,,
2010-097,UPPER VALLEY DRAINAGE IMPROVEMENTS PHASE 4 (LINDBERGH-EQUESTRE),"J.A.R. CONSTRUCTION, INC.",,,,,,
2010-100R,ON-SITE WELLNESS CLINICS,"H2U WELLNESS CENTERS, LLC dba FIRST ONSITE",,,,,,
2010-101,PARKS UPGRADE 2009,A & R CONTRACTORS,,,,,,
2010-102,AUXILIARY GENERATOR MAINTENANCE,"CUMMINS ROCKY MOUNTAIN, LLC",,,,,,
2010-103,"DOORS, FRAMES, ACCESSORIES AND INSTALLATION","RAWSON BUILDERS SUPPLY OF TEXAS, INC.",,,,,,
2010-104,COLLECTION OF DELINQUENT TAXES,"DELGADO, ACOSTA, SPENCER, LINEBARGER & PEREZ, LLP",,,,,,
2010-105,COMPUTER SYSTEM LICENSE AND MAINTENANCE AGREEMENT,APPRAISAL AND COLLECTION TECHNOLOGIES,,,,,,
2010-106,ELECTRONIC TICKETING HANDHELD DEVICES,"ADVANCED PUBLIC SAFETY, INC.",,,,,,
2010-107,WORK UNIFORMS AND SHOES,"BAZAAR UNIFORMS & MEN'S STORE, LEHIGH SAFETY SHOE COMPANY, NORTHERN IMPORTS, INC. D/B/A WORK WEAR SAFETY SHOES",,,,,,
2010-108,META/MORPHO AUTOMATED FINGERPRINT IDENTIFICATION SYSTEM (AFIS),MORPHOTRAK,,,,,,
2010-109,DETROIT DIESEL PROPRIETARY PARTS AND SERVICE,"STEWART AND STEVENSON, LLC",,,,,,
2010-110R,COMPREHENSIVE LOSS CONTROL PROGRAM,"RISK AND INSURANCE MANAGEMENT CONSULTANTS, INC.",,,,,,
2010-111,UNIFORM RENTAL SERVICE,PRUDENTIAL OVERALL SUPPLY,,,,,,
2010-112,ITS EXPANSION PHASE I,"TRI-STATE ELECTRIC, LTD.",,,,,,
2010-113,VIDEO SURVEILLANCE AND COUNT STATIONS 2009,HIGHWAY INTELLIGENT TRAFFIC SYSTEMS CORP.,,,,,,
2010-114,SPORTS FIELD LIGHTING FOR NORTHEAST REGIONAL PARK SOCCER FIELDS,MUSCO SPORTS LIGHTING LLC,,,,,,
2010-115,ZF TRANSMISSION PROPRIETARY PARTS & SERVICE ,"HARBOR DIESEL AND EQUIPMENT, INC.",,,,,,
2010-116,PARTS WASHER RENTAL SERVICE,NCH CORPORATION CHEMSEARCH DIVISION,,,,,,
2010-117,OREGON STREET REHABILITATION,C.F. JORDAN CONSTRUCTION LLC,,,,,,
2010-118,OPEN VISION LT C-ARM VIDEO X-RAY SYSTEM,ENVISION PRODUCT DESIGN LLC,,,,,,
2010-119,EOD 9 BOMB SWEEPS AND HELMET ENSEMBLES,ALLEN VANGUARD TECHNOLOGIES INC.,,,,,,
2010-120,"POLICE MOTORCYCLES PARTS, SERVICE AND MAINTENANCE","CONSENT TO ASSIGNMENT TO VIVA POWERSPORTS, LLC                    PREVIOUSLY - SANCHEZ AND SONS TRUCKING, INC dba EDGE KAWASAKI - ",,,,,,
2010-122,MINOR CONSTRUCTION & REPAIR- CITY-OWNED FACILITIES,"POWERS GENERAL , INC.; BASIC IDIQ, INC.; RAYCO CONSTRUCTION, INC.",,,,,,
2010-123,"HIGH PRESSURE COUPLED HOSE LINE,  HOSE MACHINES RENTAL AND FIELD SERVICE",GRANBERRY SUPPLY CORP dba HOSEPOWER USA,,,,,,
2010-124,MOBILE INCIDENT COMMAND VEHICLE,SPECTRUM WIRELESS INC. DBA COMTEX COMMUNICATIONS,,,,,,
2010-125,UPGRADE OF CAT4500 SERIES COMMUNICATIONS SYSTEM,"INX, INC.",,,,,,
2010-126,FLEETFOCUS FLEET MANAGEMENT SOFTWARE,"TRAPEZE ASSET SOLUTIONS, INC. DBA ASSETWORKS, INC.",,,,,,
2010-127,HUECO MOUNTAIN PARK IMPROVEMENTS,"MARTINEZ BROS. CONTRACTORS, LLC",,,,,,
2010-128,FACILITY REHABILITATIONS - ROOFS,CASPIAN CONSTRUCTION COMPANY,,,,,,
2010-129,INSTALLATION OF VIDEO SECURITY CAMERA SYSTEMS AT VARIOUS SUN METRO LOCATIONS,"ADVANCED SECURITY CONTRACTORS, INC.",,,,,,
2010-130,TWO PARALLELOGRAM LIFTS AND ACCESSORIES,DOVER INDUSTRIAL PRODUCTS ROTARY LIFT DIVISION,,,,,,
2010-131,TWELVE 2010 FORD E350 SUPER CLUB VANS,CHASTANG'S BAYOU CITY FORD,,,,,,
2010-132,ADVANCED DISASTER MANAGEMENT SIMULATOR TEAM TRAINING SYSTEM,ENVIRONMENTAL TECTONICS CORPORATION,,,,,,
2010-133,INTERNET SERVICE  ,TW TELECOM (TIME WARNER),,,,,,
2010-134,FIELD COMPUTERS FOR INSPECTION DIVISIONS,"INGRAM USER INTERFACE, LLC",,,,,,
2010-135,WHEEL AND AXLE ALIGNMENT AND SUSPENSION PARTS AND SERVICE,"V1-DALTON BRAKE AND WHEEL, V2-STANLEY SPRING AND SUSPENSION",,,,,,
2010-136,NAVISTAR (INTERNATIONAL)  PROPRIETARY PARTS AND SERVICE,"RJ BORDER MANAGEMENT, LLC",,,,,,
2010-140,TWO (2) EOD 9 BOMB SUIT AND HELMET ENSEMBLES AND TWO (2) SRS 5 SUIT AND HELMET ENSEMBLES,ALLEN VANGUARD TECHNOLOGIES INC.,,,,,,
2010-141,PANASONIC TOUGH BOOK MOBILE COMPUTER TERMINALS AND VEHICLE MOUNTING HARDWARE,PORTABLE COMPUTER SYSTEMS,,,,,,
2010-142,TRAIN CROSSING EQUIPMENT AND ACCESSORIES,DENNIS EVERS ENTERPRISES LLC,,,,,,
2010-143,CRACK SEALER (EZ SERIES II 1500),CRAFCO INC.,,,,,,
2010-145,LIGHT FIXTURES FOR FIXED BASE OPERATOR AIRCRAFT PARKING APRON,"CONSOLIDATED ELECTRICAL DISTRIBUTORS, INC.",,,,,,
2010-146,"HEATING, VENTILATION, AIR CONDITIONING (HVAC) REPLACEMENT AND RENNOVATION  AT THE MUNICIPAL SERVICE CENTER OPERATIONS COMPLEX (MSC-OPS) BUILDING I","JOHNSON CONTROLS, INC.",,,,,,
2010-147,LIFEPAK1000 DEFIBRILLATOR AND LIFEPAK12 DEFIBRILLATOR/MONITORS,"PHYSIO-CONTROL, INC., A DIVISION OF MEDTRONIC, INC.",,,,,,
2010-148,SAIPAN - LEDO POND DESIGN,"MARTINEZ BROS. CONTRACTORS, LLC",,,,,,
2010-150,JANITORIAL SERVICES - POLICE DEPARTMENT FACILITIES,THE EAGLE JANITORIAL SERVICES,,,,,,
2010-151,ALUMINUM SIGN BLANKS,"VULCAN, INC.-TERMINATED FOR CONVENIENCE 4-12-11",,,,,,
2010-152,HERBICIDE SPRAYING CITYWIDE RIGHT OF WAYS,"H. REPAIR SOLUTIONS, INC./VENDOR DEFAULTED",,,,,,
2010-155,BUS SHELTER CLEANING,"FLEETWASH, INC.",,,,,,
2010-156,POLICE UNIFORM ACCESSORIES,"V1-UNIFORMS OF TEXAS(ASSIGNED TO PREMIER UNIFORMS),  V2-ON TIME EMBROIDERY, V3-MTM RECOGNITION, V4-ROCKS-AKA-SCHOOL WEAR/dba ROBERT SIMPSON ",,,,,,
2010-157,FURNITURE FOR MSC BUILDING 1 RENOVATION,FACILITIES CONNECTION,,,,,,
2010-158,"PAINT, TRAFFIC AND AIRFIELD MARKING, TYPE II WATERBORNE","ENNIS PAINT, INC.",,,,,,
2010-159,NEIGHBORHOOD TRAFFIC MANAGEMENT PROGRAM 2010,"MARTINEZ BROS. CONTRACTORS, LLC",,,,,,
2010-160,NEIGHBORHOOD TRAFFIC MANAGEMENT PROGRAM 2010A,"MARTINEZ BROS. CONTRACTORS, LLC",,,,,,
2010-161,SECURITY GUARD SERVICES,"RUIZ PROTECTIVE SERVICES, INC.",,,,,,
2010-162,GROUNDS MAINTENANCE FOR EL PASO CITY PARKS - MOWING,LEDESMA'S,,,,,,
2010-163R,FINE ARTS MUSEUM INSURANCE,HUNTINGTON T. BLOCK INSURANCE AGENCY INC.,,,,,,
2010-164,IDMX PHOTO ID SOFTWARE,ID CARD TECHNOLOGY CORPORATION,,,,,,
2010-165,STRUCTURED CABLING SERVICES,TRANSAMERICAN COMMUNICATIONS INC.,,,,,,
2010-166,CONTINUED ORACLE SERVICES & SUPPORT FOR THE ORACLE BUSINESS INTELLIGENCE SOFTWARE FOR EPPD,MYTHICS INC.,,,,,,
2010-168,2010 SIDEWALK GAP PROGRAM,LOMELI & SONS LANDSCAPING CO.,,,,,,
2010-170,INTERNATIONAL BRIDGES - STANTON TOLL AND PASO DEL NORTE FACILITY PROJECT,"URBAN ASSOCIATES, INC.",,,,,,
2010-171,TICKET VENDING MACHINES FOR MISSION VALLEY AND GLORY ROAD TRANSFER CENTERS,GFI GENFAIRE,,,,,,
2010-173R,FOOD AND BEVERAGE CONCESSION FOR ATHLETIC FIELDS,"V1-BIG BOY ICE CREAM, V2-BLUE STAR, V3-BRYANNA ICE CREAM, V4-CRYSTAL ICE CREAM, V5-MANNY'S ICE CREAM, V6-POLAR ICE CREAM, V7-RAINBOW ICE CREAM, V8-THE AMIGO ICE CREAM",,,,,,
2010-174,STREET RESURFACING 2010,"J.A.R. CONCRETE, INC dba J.A.R. CONSTRUCTION, INC",,,,,,
2010-176,UNPAVED RIGHT-OF-WAYS PHASE 4 PROJECT,"ASPHALT PAVERS, INC.",,,,,,
2010-177,POLICE DUTY GEAR,"V1-BAILEY'S HOUSE OF GUNS, INC. V2-GT DISTRIBUTORS, INC V3-LAWMEN'S & SHOOTERS' SUPPLY, INC V4-QUARTERMASTER, INC. V5-UNIFORMS 4 ALL, INC dba UNIFORMS AND ACCESSORIES WAREHOUSE AND V6-VIGILANT CONCEPTS GROUP INC (ALTERNATE BID)",,,,,,
2010-178,ROSEWAY DRIVE PHASE 1 STREET & DRAINAGE IMPROVEMENTS,"SAAB SITE CONTRACTORS, L.P.",,,,,,
2010-179,DENTAL SUPPLIES,"V1-CERAMICS INC., dba BIOMEDICO, V2-DENTSERVE, INC., V3-HENRY SCHEIN, INC.",,,,,,
2010-180,MICRO-SURFACING 2010,"INTERMOUNTAIN SLURRY SEAL, INC.",,,,,,
2010-181R,"TRANSPORT MEDICAL BILLING, COLLECTIONS AND ePCR SERVICES","ADVANCED DATA PROCESSING, INC.",,,,,,
2010-182,PEST CONTROL SERVICES,"CONTINENTAL TERMITE & PEST CONTROL, INC.",,,,,,
2010-183,DELL COMPUTER AND EQUIPMENT PRODUCTS,"CHECKPOINT SERVICES, INC.",,,,,,
2010-184,"PLAYGROUND EQUIPMENT:  MODESTO GOMEZ, PEBBLE HILLS, TIERRA DEL ESTE #50A, TIERRA DEL ESTE #50B, INDIAN HEIGHTS, AND TIERRA DEL ESTE #44",PLAYPOWER LT FARMINGTON INC. / ALL PLAY INC.,,,,,,
2010-185,"PLAYGROUND EQUIPMENT:  FRANKLIN , THORN, PEBBLE HILLS, CIMARRON #4, CIMARRON #1, ESMERALDA, HUECO CLUB ESTATES #1, HUECO CLUB ESTATES #2, TIERRA DEL ESTE #50A, TIERRA DEL ESTE #50B, MCARTHUR, COLONIA VERDE, PECAN GROVE, PERCY GURROLA, HIDDEN VALLEY, DE VARGAS, PUEBLO VIEJO, FATHER PETE MARTINEZ, SUMMIT HEIGHTS/FILLMORE, TODD WARE, LITTLE RIVER, FRANKLIN HEIGHTS #8, SANDSTONE RANCH ESTATES, SANDSTONE RANCH, MILAGRO PARK, RIVERBEND PARKS",THE PLAYWELL GROUP,,,,,,
2010-186,"PLAYGROUND EQUIPMENT:  VALLEY CREEK, VAN BUREN, GREEN LILAC, BORDERLAND VILLAGE #1, ESMERALDA, FRANKLIN HILLS #8, HUECO CLUB ESTATES #1, TIERRA DEL ESTE #18, TIERRA DEL ESTE #30, TIERRA DEL ESTE #27, MONTWOOD HEIGHTS, PECAN GROVE, FATHER PETE MARTINEZ, LITTLE RIVER, SUMMIT HEIGHTS/FILLMORE, MCARTHUR, MILAGRO, HUECO MOUNTAIN, PASEOS DEL SOL, SANDSTONE RANCH ESTATES, SANDSTONE RANCH, AND TIERRA DEL ESTE #56 PARKS.","EXERPLAY, INC.",,,,,,
2010-187,"TOWING, STORAGE AND SALE OF MOTOR VEHICLES",SUN CITY TOWING AND RECOVERY,,,,,,
2010-188,SOFTWARE MAINTENANCE SUPPORT,PROFESSIONAL DOCUMENT SYSTEMS,,,,,,
2010-189,NIEHOFF ALTERNATORS AND RELATED PARTS,MCADAMS GROUP LLC dba TEXAS ALTERNATOR STARTER SERVICE,,,,,,
2010-190R,DOWNTOWN FOOD CART VENDING,BIG BOY ICE CREAM,,,,,,
2010-192,GROUNDS MAINTENANCE - MASS TRANSIT FACILITIES,"DELTA UNLIMITED, INC.",,,,,,
2010-194R,WASTE COLLECTION SERVICES FOR REQUIRED COMMERCIAL COLLECTION AREA #1,ONE REQUEST FOR  INFORMATION RECEIVED FROM EL PASO DISPOSAL,,,,,,
2010-195,"MONTOYA HEIGHTS SUBDIVISION STREET & DRAINAGE IMPROVEMENTS PHASE I, MIKE LANE, LIANA CR., CONIFERO CT & BATISTE ST","J.A.R. CONCRETE, INC. dba J.A.R. CONSTRUCTION, INC.",,,,,,
2010-196,"MONTOYA HEIGHTS SUBDIVISION STREET & DRAINAGE IMPROVEMENTS PHASE II, ETHEL RD (EDGAR TO COTES) AND EDGAR ROAD (ETHEL TO DEAD END)","J.A.R. CONCRETE, INC. dba J.A.R. CONSTRUCTION, INC.",,,,,,
2010-197,COATES DRIVE PARKWAY IMPROVEMENTS PROJECT,"G CONTEK, LLC",,,,,,
2010-198,PENDALE CITIZENS COLLECTIONS SITE,"HRT ROOFING & CONSTRUCTION, INC.",,,,,,
2010-199,BULK WASTE CRANE TRUCKS,"STEWART AND STEVENSON TRUCK HOLDINGS, LLC dba ON THE BORDER FREIGHTLINER OF EL PASO",,,,,,
2010-200,(12) 2010 FORD E350 SUPER CLUB VANS FOR THE JOB ACCESS REVERSE COMMUTE (JARC) PROGRAM,CHASTANG'S BAYOU CITY FORD,,,,,,
2010-201,RADIO COMMUNICATIONS EQUIPMENT AND SERVICES,MOTOROLA WESTERN DIVISION,,,,,,
2010-202,PRO III LASER,KUSTOM SIGNALS,,,,,,
2010-203,FURNITURE FOR PEBBLE HILLS REGIONAL COMMAND,HOWELL BUSINESS SERVICES INC. dba BUSINESS INTERIORS,,,,,,
2010-204,"JANITORIAL SERVICES, WESTSIDE, SEVILLE AND CHIHUAHUITA RECREATION CENTERS",FEDERAL JANITORIAL-STG LLC,,,,,,
2010-206,"TRAFFIC SIGNAL PRIORITY CONTROL SYSTEM, INFRARED ACTIVATED, DATA-ENCODED","TRI-STATE ELECTRIC, LTD.",,,,,,
2010-207,"PURCHASE, TRANSPORTATION & CLINICAL LABORATORY TESTS OF 17 ZOO ANIMALS","SAFARI WEST, INC.",,,,,,
2010-209R,ELECTRIC VEHICLE CHARGING STATIONS,"ECOTALITY, NORTH AMERICA",,,,,,
2010-210,BUS STOP ENHANCEMENTS,"MIMBELA CONTRACTORS, INC.",,,,,,
2010-212,REI CAMERA SYSTEM,RUSH BUS CENTER,,,,,,
2010-213,TRAPEZE-PASS AND TRAPEZE-FX,TRAPEZE SOFTWARE GROUP,,,,,,
2010-214R,ANALYSIS OF IMPEDIMENTS TO FAIR HOUSING CHOICE,SOUTHWEST FAIR HOUSING COUNCIL,,,,,,
2010-215,PASEOS DEL SOL PARK DEVELOPMENT PHASE I,"HRT ROOFING & CONSTRUCTION, INC.",,,,,,
2010-216,BUS SHELTER INSTALLATION PHASE II,"MIMBELA CONTRACTORS, INC.",,,,,,
2010-217,EPIA BUTTERFIELD TRAIL GOLF COURSE PERIMETER FENCE IMPROVEMENTS,"HRT ROOFING & CONSTRUCTION, INC.",,,,,,
2010-218,PARKS UPGRADE 2009 PHASE 2,"H-SQUARED INDUSTRIES, INC.",,,,,,
2010-220,WIRELESS COMMUNICATIONS,INX INC,,,,,,
2010-221,CISCO SWITCHES,INX INC,,,,,,
2010-222,FORTINET WEB APPLIANCE SOFTWARE,M&S TECHNOLOGIES,,,,,,
2010-223R,MAINTENANCE OF CITY SERVERS,"SOLID SYSTEMS CAD SERVICES, INC.",,,,,,
2010-224,VOCATIONAL TRUCK (ROLLOFF TRUCK),"RJ BORDER MANAGEMENT, LLC dba BORDER INTERNATIONAL TRUCKS",,,,,,
